Subject,Condition,RT,Accuracy,RT_log,Group,home,social,prof,composite
S01,gender_g,2754,1,7.920809679,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_wo,4999,0,8.516993171,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_w,2845,1,7.953318347,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_w,8221,1,9.014447135,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_u,11027,1,9.30810209,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_u,3017,0,8.012018239,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_g,2505,1,7.826044014,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_w,4209,1,8.344980369,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_wo,5258,0,8.567506005,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_wo,9117,1,9.117896082,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_u,5534,1,8.61866616,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_wo,5677,0,8.644178203,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_wo,3922,0,8.274357007,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_wo,3217,0,8.076204527,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_u,3379,1,8.125335087,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_u,3734,0,8.225235324,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_wo,3600,0,8.188689124,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_g,3269,1,8.092239407,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_w,3112,1,8.043020885,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_w,2320,1,7.749322465,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_w,2941,1,7.986504939,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_g,937,1,6.842683282,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_wo,3476,0,8.153637486,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_g,3624,1,8.195333667,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_w,7797,1,8.961494323,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_wo,3479,0,8.154500175,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_u,2787,1,7.932721027,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_wo,14530,1,9.583970757,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_w,6428,1,8.768418727,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_g,2752,1,7.920083199,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_u,1735,0,7.458762692,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_w,3719,1,8.221210094,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_g,6145,1,8.723394022,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_wo,3343,0,8.114623886,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_u,3397,1,8.130647968,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_w,3744,1,8.227909838,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_wo,3766,0,8.233768709,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_g,5108,1,8.538563217,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_w,6074,1,8.711772646,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_wo,9610,0,9.170559502,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_w,4310,1,8.368693183,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_u,3465,0,8.150467912,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_g,3172,1,8.062117583,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_g,4211,1,8.345455428,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_wo,8972,1,9.101863896,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_w,5133,1,8.543445563,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_wo,4693,0,8.453827316,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_u,3156,0,8.057060682,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_w,3792,1,8.240648863,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_w,5293,1,8.574140472,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_g,775,1,6.652863029,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_g,1845,1,7.520234556,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_w,4136,1,8.327484416,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_wo,3576,0,8.182000136,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_u,13485,0,9.509333236,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_w,3891,1,8.266421473,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_w,4805,1,8.477412321,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_g,1138,1,7.037027615,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_wo,3183,0,8.065579427,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,lowom_wo,3446,0,8.144969417,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_w,6185,1,8.729882285,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_u,7503,1,8.92305822,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_g,3486,1,8.156510226,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_wo,5187,0,8.553910774,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_u,3834,1,8.251663924,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_u,3088,1,8.035278911,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,highom_w,7897,1,8.974238219,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,obligdet_w,6572,1,8.790573479,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,gender_g,941,1,6.84694314,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
S01,num_g,3041,1,8.019941688,Native-NN,5.223030014,31.02861255,0.886175113,11.12966293
